Timestamp,Source File,Google Service,Event Type,Description,Device,IP,Additional Metadata
2024-04-19 09:35:32,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Hotels\MyActivity.html,Hotels,Search,"Hotels | Searched for * | Apr 19, 2024, 9:35:32 AM EDT | Hotels",,,
2024-04-19 10:55:58,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Maps\MyActivity.html,Maps,Viewed,"Maps | Viewed area around Cypress Head Golf Club | Apr 19, 2024, 10:55:58 AM EDT | Maps",,,
2024-04-19 10:55:58,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Maps\MyActivity.html,Maps,Activity,"Maps | Explored on Google Maps | Apr 19, 2024, 10:55:58 AM EDT | Maps",,,
2024-04-19 10:56:47,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Maps\MyActivity.html,Maps,Activity,"Maps | 1885 Halifax Dr | Apr 19, 2024, 10:56:47 AM EDT | Maps",,,
2024-04-19 10:56:47,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Maps\MyActivity.html,Maps,Search,"Maps | Searched for 1885 Halifax Dr, Port Orange, FL 32128 | Apr 19, 2024, 10:56:47 AM EDT | Maps",,,
2024-04-19 11:00:59,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Maps\MyActivity.html,Maps,Search,"Maps | Searched for Halifax Hospital Professional Building, 311 N Clyde Morris Blvd # 320, Daytona Beach, FL 32114 | Apr 19, 2024, 11:00:59 AM EDT | Maps",,,
2024-04-19 11:01:00,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Maps\MyActivity.html,Maps,Activity,"Maps | Halifax Hospital Professional Building | Apr 19, 2024, 11:01:00 AM EDT | Maps",,,
2024-04-19 11:01:14,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Hotels\MyActivity.html,Hotels,Search,"Hotels | Searched for * | Apr 19, 2024, 11:01:14 AM EDT | Hotels",,,
2024-04-19 11:08:01,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Gmail\MyActivity.html,Gmail,Search,"Gmail | Searched for elijah hurd | Apr 19, 2024, 11:08:01 AM EDT | Gmail",,,Gmail; Elijah
2024-04-19 11:35:23,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Search\MyActivity.html,Search,Search,"Search | Searched for 2022 florida hurricanes | Apr 19, 2024, 11:35:23 AM EDT | Search",,,
