"DeletedAt","Name","FullName","Length","LastWriteTime"
"2026-07-06T20:20:34","takeout-20260602T071913Z-7-076.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-076.zip","4268232615","7/6/2026 3:23:18 PM"
"2026-07-06T20:20:34","takeout-20260602T071913Z-7-077.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-077.zip","4261284914","7/6/2026 3:23:42 PM"
"2026-07-06T20:20:34","takeout-20260602T071913Z-7-078.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-078.zip","4295108835","7/6/2026 3:23:46 PM"
"2026-07-06T20:20:34","takeout-20260602T071913Z-7-079.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-079.zip","4287461262","7/6/2026 3:23:30 PM"
"2026-07-06T20:20:34","takeout-20260602T071913Z-7-080.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-080.zip","4284655830","7/6/2026 3:23:49 PM"
"2026-07-06T20:20:34","takeout-20260602T071913Z-7-081.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-081.zip","4267738314","7/6/2026 7:21:54 PM"
"2026-07-06T20:20:34","takeout-20260602T071913Z-7-082.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-082.zip","4272415013","7/6/2026 7:22:05 PM"
"2026-07-06T20:20:34","takeout-20260602T071913Z-7-083.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-083.zip","4258553117","7/6/2026 7:22:13 PM"
"2026-07-06T20:20:34","takeout-20260602T071913Z-7-084.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-084.zip","4274871791","7/6/2026 7:22:17 PM"
"2026-07-06T20:20:34","takeout-20260602T071913Z-7-085.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-085.zip","4259498233","7/6/2026 7:22:16 PM"
