"DeletedAt","Name","FullName","Length","LastWriteTime"
"2026-07-06T22:16:01","takeout-20260602T071913Z-11-001.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-001.zip","4257408703","7/6/2026 9:20:03 PM"
"2026-07-06T22:16:01","takeout-20260602T071913Z-13-001.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-13-001.zip","2986862980","7/6/2026 9:29:31 PM"
"2026-07-06T22:16:01","takeout-20260602T071913Z-15-001.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-15-001.zip","2388","7/6/2026 9:27:47 PM"
"2026-07-06T22:16:01","takeout-20260602T071913Z-7-086.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-086.zip","4256263916","7/6/2026 9:18:43 PM"
"2026-07-06T22:16:01","takeout-20260602T071913Z-7-087.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-087.zip","4124574956","7/6/2026 9:18:46 PM"
"2026-07-06T22:16:01","takeout-20260602T071913Z-7-088.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-088.zip","4216633501","7/6/2026 9:19:18 PM"
"2026-07-06T22:16:01","takeout-20260602T071913Z-7-089.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-089.zip","4254647244","7/6/2026 9:19:22 PM"
"2026-07-06T22:16:01","takeout-20260602T071913Z-7-090.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-090.zip","3891081807","7/6/2026 9:18:36 PM"
"2026-07-06T22:16:01","takeout-20260602T071913Z-7-091.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-091.zip","1783850565","7/6/2026 9:11:53 PM"
"2026-07-06T22:16:01","takeout-20260602T071913Z-9-001.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-9-001.zip","4282105214","7/6/2026 9:19:50 PM"
