"DeletedAt","Name","FullName","Length","LastWriteTime"
"2026-07-06T15:04:47","takeout-20260602T071913Z-7-066.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-066.zip","4284774866","7/6/2026 2:07:22 PM"
"2026-07-06T15:04:47","takeout-20260602T071913Z-7-067.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-067.zip","4269994826","7/6/2026 2:07:01 PM"
"2026-07-06T15:04:47","takeout-20260602T071913Z-7-068.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-068.zip","4291646220","7/6/2026 2:06:58 PM"
"2026-07-06T15:04:47","takeout-20260602T071913Z-7-069.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-069.zip","4267472920","7/6/2026 2:07:05 PM"
"2026-07-06T15:04:47","takeout-20260602T071913Z-7-070.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-070.zip","4268478609","7/6/2026 2:07:02 PM"
"2026-07-06T15:04:47","takeout-20260602T071913Z-7-071.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-071.zip","4271239822","7/6/2026 2:37:36 PM"
"2026-07-06T15:04:47","takeout-20260602T071913Z-7-072.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-072.zip","4257693258","7/6/2026 2:37:47 PM"
"2026-07-06T15:04:47","takeout-20260602T071913Z-7-073.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-073.zip","4280005415","7/6/2026 2:38:16 PM"
"2026-07-06T15:04:47","takeout-20260602T071913Z-7-074.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-074.zip","4263530907","7/6/2026 2:37:59 PM"
"2026-07-06T15:04:47","takeout-20260602T071913Z-7-075.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-075.zip","4283998172","7/6/2026 2:38:04 PM"
